Name,Image URL,Product URL,Price,Manufacturer,Part #,Series,Microarchitecture,Core Family,Socket,Core Count,Performance Core Clock,Performance Core Boost Clock,Efficiency Core Clock,Efficiency Core Boost Clock,L2 Cache,L3 Cache,TDP,Integrated Graphics,Maximum Supported Memory,ECC Support,Includes Cooler,Packaging,Lithography,Includes CPU Cooler,Simultaneous Multithreading
AMD FX-6350,/static/forever/img/no-image.png,https://pcpartpicker.com/product/DzmLrH/amd-cpu-fd6350frw6khk,,AMD,FD6350FRW6KHK,AMD FX,Piledriver,Vishera,AM3+,6,3.9 GHz,,,,6 MB,8 MB,125 W,None,,No,No,OEM/Tray,32 nm,No,No
AMD Athlon II X4 651,/static/forever/img/no-image.png,https://pcpartpicker.com/product/44XfrH/amd-cpu-ad651xwngxbox,,AMD,AD651XWNGXBOX,AMD Athlon II X4,Lynx,Llano,FM1,4,3 GHz,,,,4 MB,0 MB,100 W,None,,No,Yes,Boxed,32 nm,Yes,No
Intel Core i3-4360T,/static/forever/img/no-image.png,https://pcpartpicker.com/product/HqYXsY/intel-cpu-cm8064601481958,,Intel,CM8064601481958,Intel Core i3,Haswell Refresh,Haswell Refresh,LGA1150,2,3.2 GHz,,,,0.5 MB,4 MB,35 W,Intel HD Graphics 4600,,Yes,No,OEM/Tray,22 nm,No,Yes: Hyper-Threading
Intel Xeon E3-1230 V3,/static/forever/img/no-image.png,https://pcpartpicker.com/product/KVrG3C/intel-cpu-cm8064601467202,,Intel,CM8064601467202,Intel Xeon E3,Haswell,Haswell,LGA1150,4,3.3 GHz,3.7 GHz,,,1 MB,8 MB,80 W,None,,Yes,No,OEM/Tray,22 nm,No,Yes: Hyper-Threading
Intel Xeon E5-1620 V3,/static/forever/img/no-image.png,https://pcpartpicker.com/product/dfrcCJ/intel-cpu-cm8064401973600,,Intel,CM8064401973600,Intel Xeon E5,Haswell,Haswell-EP,LGA2011-3,4,3.5 GHz,3.6 GHz,,,1 MB,10 MB,140 W,None,,Yes,No,OEM/Tray,22 nm,No,Yes: Hyper-Threading
AMD Athlon X2 350,/static/forever/img/no-image.png,https://pcpartpicker.com/product/zscMnQ/amd-cpu-ad350xoka23hl,,AMD,AD350XOKA23HL,AMD Athlon X2,Piledriver,Richland,FM2,2,3.5 GHz,3.9 GHz,,,1 MB,0 MB,65 W,None,,No,No,OEM/Tray,32 nm,No,No
AMD Athlon X4 840,/static/forever/img/no-image.png,https://pcpartpicker.com/product/BYcMnQ/amd-cpu-ad840xybi44ja,,AMD,AD840XYBI44JA,AMD Athlon X4,Steamroller,Kaveri,FM2+,4,3.1 GHz,3.8 GHz,,,4 MB,0 MB,65 W,None,,No,No,OEM/Tray,28 nm,No,No
Intel Xeon E5-2640 V3,//cdna.pcpartpicker.com/static/forever/images/product/52fbf7ca63dceaa1c3c05d2d1181b933.med.256p.jpg,https://pcpartpicker.com/product/HKH48d/intel-cpu-cm8064401830901,$189.95 ,Intel,CM8064401830901,Intel Xeon E5,Haswell,Haswell-EP,LGA2011-3,8,2.6 GHz,3.4 GHz,,,2 MB,20 MB,90 W,None,,Yes,No,OEM/Tray,22 nm,No,Yes: Hyper-Threading
Intel Xeon E5-2685 V3,https://images-na.ssl-images-amazon.com/images/I/511CGtwsIBL.jpg,https://pcpartpicker.com/product/KRs8TW/intel-cpu-cm8064401684201,,Intel,CM8064401684201,Intel Xeon E5,Haswell,Haswell-EP,LGA2011-3,12,2.6 GHz,3.3 GHz,,,3 MB,30 MB,120 W,None,,Yes,No,OEM/Tray,22 nm,No,Yes: Hyper-Threading
Intel Xeon E3-1270 V3,https://m.media-amazon.com/images/I/41gfZhCKO3L.jpg,https://pcpartpicker.com/product/YmPzK8/intel-cpu-cm8064601467101,,Intel,CM8064601467101,Intel Xeon E3,Haswell,Haswell,LGA1150,4,3.5 GHz,3.9 GHz,,,1 MB,8 MB,80 W,None,,Yes,No,OEM/Tray,22 nm,No,Yes: Hyper-Threading
AMD A10-7870K,https://images-na.ssl-images-amazon.com/images/I/41w1pBPymnL.jpg,https://pcpartpicker.com/product/DBbkcf/amd-cpu-ad787kxdi44jc,,AMD,AD787KXDI44JC,AMD A10,Steamroller,Godavari,FM2+,4,3.9 GHz,4.1 GHz,,,4 MB,0 MB,95 W,Radeon R7 (on-die),,No,No,OEM/Tray,28 nm,No,No
Intel Pentium G4400,https://images-na.ssl-images-amazon.com/images/I/51YefgMhKDL.jpg,https://pcpartpicker.com/product/Zk648d/intel-cpu-cm8066201927306,,Intel,CM8066201927306,Intel Pentium,Skylake,Skylake-S,LGA1151,2,3.3 GHz,,,,0.5 MB,3 MB,54 W,Intel HD Graphics 510,64 GB,Yes,No,OEM/Tray,14 nm,No,No
Intel Xeon E3-1270 V5,https://m.media-amazon.com/images/I/51niI34PUXL.jpg,https://pcpartpicker.com/product/nZZ2FT/intel-cpu-cm8066201921712,,Intel,CM8066201921712,Intel Xeon E3,Skylake,Skylake-H,LGA1151,4,3.6 GHz,4 GHz,,,1 MB,8 MB,80 W,None,64 GB,Yes,No,OEM/Tray,14 nm,No,Yes: Hyper-Threading
Intel Xeon E3-1240 V5,https://m.media-amazon.com/images/I/51niI34PUXL.jpg,https://pcpartpicker.com/product/MBcMnQ/intel-cpu-cm8066201921715,,Intel,CM8066201921715,Intel Xeon E3,Skylake,Skylake-H,LGA1151,4,3.5 GHz,3.9 GHz,,,1 MB,8 MB,80 W,None,64 GB,Yes,No,OEM/Tray,14 nm,No,Yes: Hyper-Threading
AMD Opteron 6320,https://m.media-amazon.com/images/I/41Vh298AXPL.jpg,https://pcpartpicker.com/product/zL3RsY/amd-cpu-os6320wkt8ghkwof,$242.39 ,AMD,OS6320WKT8GHKWOF,AMD Opteron,Piledriver,Abu Dhabi,G34,8,2.8 GHz,3.3 GHz,,,8 MB,16 MB,115 W,None,,No,No,Boxed,32 nm,No,No
Intel Core i7-6800K,/static/forever/img/no-image.png,https://pcpartpicker.com/product/Zgbkcf/intel-cpu-bxc80671i76800k,,Intel,BXC80671I76800K,Intel Core i7,Broadwell,Broadwell-E,LGA2011-3,6,3.4 GHz,3.6 GHz,,,1.5 MB,15 MB,140 W,None,,No,No,Boxed,14 nm,No,Yes: Hyper-Threading
Intel Core i3-7320,/static/forever/img/no-image.png,https://pcpartpicker.com/product/hpWrxr/intel-core-i3-7320-41ghz-dual-core-oemtray-processor-cm8067703014425,,Intel,CM8067703014425,Intel Core i3,Kaby Lake,Kaby Lake-S,LGA1151,2,4.1 GHz,,,,0.5 MB,4 MB,51 W,Intel HD Graphics 630,64 GB,No,No,OEM/Tray,14 nm,No,Yes: Hyper-Threading
Intel Core i7-7700T,/static/forever/img/no-image.png,https://pcpartpicker.com/product/MgNypg/intel-core-i7-7700t-29ghz-quad-core-processor-bxc80677i77700t,,Intel,BXC80677I77700T,Intel Core i7,Kaby Lake,Kaby Lake-S,LGA1151,4,2.9 GHz,3.8 GHz,,,1 MB,8 MB,35 W,Intel HD Graphics 630,64 GB,No,Yes,Boxed,14 nm,Yes,Yes: Hyper-Threading
Intel Core i7-7820X,/static/forever/img/no-image.png,https://pcpartpicker.com/product/cZM323/intel-i7-7820x-36ghz-8-core-processor-bxc80673i77820x,,Intel,BXC80673I77820X,Intel Core i7,Skylake,Skylake-X,LGA2066,8,3.6 GHz,4.5 GHz,,,8 MB,11 MB,140 W,None,128 GB,No,No,Boxed,14 nm,No,Yes: Hyper-Threading
Intel Core i7-7740X,/static/forever/img/no-image.png,https://pcpartpicker.com/product/3cX2FT/intel-core-i7-7740x-43ghz-quad-core-processor-bxc80677i77740x,,Intel,BXC80677I77740X,Intel Core i7,Kaby Lake,Kaby Lake-X,LGA2066,4,4.3 GHz,4.5 GHz,,,1 MB,8 MB,112 W,None,64 GB,No,No,Boxed,14 nm,No,Yes: Hyper-Threading
Intel Core i5-7640X,/static/forever/img/no-image.png,https://pcpartpicker.com/product/VdkwrH/intel-core-i5-7640x-40ghz-quad-core-processor-bxc80677i57640x,,Intel,BXC80677I57640X,Intel Core i5,Kaby Lake,Kaby Lake-X,LGA2066,4,4 GHz,4.2 GHz,,,1 MB,6 MB,112 W,None,64 GB,No,No,Boxed,14 nm,No,No
Intel Xeon E3-1240 V6,https://m.media-amazon.com/images/I/51uL8wwIiRL.jpg,https://pcpartpicker.com/product/dWx9TW/intel-xeon-e3-1240-v6-37ghz-quad-core-processor-bx80677e31240v6,,Intel,BX80677E31240V6,Intel Xeon E3,Kaby Lake,Kaby Lake-S,LGA1151,4,3.7 GHz,4.1 GHz,,,1 MB,8 MB,72 W,None,64 GB,Yes,Yes,Boxed,14 nm,Yes,Yes: Hyper-Threading
Intel Xeon E3-1275 V6,https://m.media-amazon.com/images/I/51szIh1CyDL.jpg,https://pcpartpicker.com/product/QncMnQ/intel-xeon-e3-1275-v6-38ghz-quad-core-processor-bx80677e31275v6,,Intel,BX80677E31275V6,Intel Xeon E3,Kaby Lake,Kaby Lake-S,LGA1151,4,3.8 GHz,4.2 GHz,,,1 MB,8 MB,73 W,Intel HD Graphics P630,64 GB,Yes,Yes,Boxed,14 nm,Yes,Yes: Hyper-Threading
AMD A6-9550,/static/forever/img/no-image.png,https://pcpartpicker.com/product/BpZ2FT/amd-a6-9550-38ghz-dual-core-oemtray-processor-ad9550agm23ab,,AMD,AD9550AGM23AB,AMD A6,Excavator,Bristol Ridge,AM4,2,3.8 GHz,4 GHz,,,1 MB,0 MB,65 W,Radeon R5 (on die),,No,No,OEM/Tray,28 nm,No,No
Intel Core i5-3550S,/static/forever/img/no-image.png,https://pcpartpicker.com/product/sMPfrH/intel-core-i5-3550s-30ghz-quad-core-oemtray-processor-cm8063701095203,,Intel,CM8063701095203,Intel Core i5,Ivy Bridge,Ivy Bridge,LGA1155,4,3 GHz,3.7 GHz,,,1 MB,6 MB,65 W,Intel HD Graphics 2500,,No,No,OEM/Tray,22 nm,No,No
Intel Core i3-4360,https://m.media-amazon.com/images/I/41GbvAgD2KL.jpg,https://pcpartpicker.com/product/pNzkcf/intel-core-i3-4360-37ghz-dual-core-oemtray-processor-cm8064601482461,,Intel,CM8064601482461,Intel Core i3,Haswell Refresh,Haswell Refresh,LGA1150,2,3.7 GHz,,,,0.5 MB,4 MB,54 W,Intel HD Graphics 4600,,Yes,No,OEM/Tray,22 nm,No,Yes: Hyper-Threading
Intel Xeon E-2274G,//cdna.pcpartpicker.com/static/forever/images/product/d1df1dafc93f1ad357491c85e86bfde5.256p.jpg,https://pcpartpicker.com/product/MZJmP6/intel-xeon-e-2274g-4-thz-quad-core-processor-bx80684e2274g,,Intel,BX80684E2274G,Intel Xeon E,Coffee Lake Refresh,Coffee Lake Refresh,LGA1151,4,4 GHz,4.9 GHz,,,1 MB,8 MB,83 W,Intel HD Graphics P630,128 GB,Yes,No,Boxed,14 nm,No,Yes: Hyper-Threading
Intel Celeron G5925,//cdna.pcpartpicker.com/static/forever/images/product/4e74ee4ede2abc74ce883111381c4462.256p.jpg,https://pcpartpicker.com/product/Z2Dkcf/intel-celeron-g5925-36-ghz-dual-core-oemtray-processor-cm8070104292013,,Intel,CM8070104292013,Intel Celeron,Comet Lake,Comet Lake,LGA1200,2,3.6 GHz,,,,0.5 MB,4 MB,58 W,Intel UHD Graphics 610,128 GB,No,No,OEM/Tray,14 nm,No,No
Intel Celeron G5905T,/static/forever/img/no-image.png,https://pcpartpicker.com/product/YWsnTW/intel-celeron-g5905t-33-ghz-dual-core-oemtray-processor-cm8070104292213,,Intel,CM8070104292213,Intel Celeron,Comet Lake,Comet Lake,LGA1200,2,3.3 GHz,,,,0.5 MB,4 MB,35 W,Intel UHD Graphics 610,128 GB,No,No,OEM/Tray,14 nm,No,No
AMD Athlon II X4 620,https://m.media-amazon.com/images/I/41558JIsKAL.jpg,https://pcpartpicker.com/product/kMH323/amd-cpu-adx620wfgibox,,AMD,ADX620WFGIBOX,AMD Athlon II X4,K10,Propus,AM3,4,2.6 GHz,,,,2 MB,0 MB,95 W,None,,No,Yes,Boxed,45 nm,Yes,No
Intel Xeon E5-2640 V2,//cdna.pcpartpicker.com/static/forever/images/product/3566a2b4f938d244ff5555cc5ad8fd52.256p.jpg,https://pcpartpicker.com/product/bqTmP6/intel-cpu-bx80635e52640v2,,Intel,BX80635E52640V2,Intel Xeon E5,Ivy Bridge,Ivy Bridge-EP,LGA2011,8,2 GHz,2.5 GHz,,,2 MB,20 MB,95 W,None,,Yes,No,Boxed,22 nm,No,Yes: Hyper-Threading
AMD Opteron 6344,https://m.media-amazon.com/images/I/419G5AaK-XL.jpg,https://pcpartpicker.com/product/GzQypg/amd-cpu-os6344wktcghkwof,,AMD,OS6344WKTCGHKWOF,AMD Opteron,Piledriver,Abu Dhabi,G34,12,2.6 GHz,3.2 GHz,,,12 MB,16 MB,115 W,None,,No,No,Boxed,32 nm,No,No
Intel Celeron G4920,/static/forever/img/no-image.png,https://pcpartpicker.com/product/VJm323/intel-celeron-g4920-32ghz-dual-core-oemtray-processor-cm8068403378011,,Intel,CM8068403378011,Intel Celeron,Coffee Lake,Coffee Lake,LGA1151,2,3.2 GHz,,,,0.5 MB,2 MB,65 W,Intel UHD Graphics 610,64 GB,Yes,No,OEM/Tray,14 nm,No,No
AMD Athlon II X2 220,/static/forever/img/no-image.png,https://pcpartpicker.com/product/CRtCmG/amd-cpu-adx220ock22gm,,AMD,ADX220OCK22GM,AMD Athlon II X2,K10,Regor,AM3,2,2.8 GHz,,,,1 MB,0 MB,65 W,None,,No,No,OEM/Tray,45 nm,No,No
Intel Celeron 420,/static/forever/img/no-image.png,https://pcpartpicker.com/product/Xwbp99/intel-cpu-bx80557420r,,Intel,BX80557420R,Intel Celeron,Core,Conroe,LGA775,1,1.6 GHz,,,,0.5 MB,0 MB,35 W,None,,No,Yes,Boxed,65 nm,Yes,No
AMD Athlon II X3 445,https://images-na.ssl-images-amazon.com/images/I/41m%2B9-xcfKL.jpg,https://pcpartpicker.com/product/96fp99/amd-cpu-adx445wfgmbox,,AMD,ADX445WFGMBOX,AMD Athlon II X3,K10,Rana,AM3,3,3.1 GHz,,,,1.5 MB,0 MB,95 W,None,,No,Yes,Boxed,45 nm,Yes,No
AMD Phenom II X4 920,/static/forever/img/no-image.png,https://pcpartpicker.com/product/ZYZQzy/amd-cpu-hdx920xcgibox,,AMD,HDX920XCGIBOX,AMD Phenom II X4,K10,Deneb,AM2+,4,2.8 GHz,,,,2 MB,6 MB,125 W,None,,No,Yes,Boxed,45 nm,Yes,No
AMD Phenom II X6 1055T,https://m.media-amazon.com/images/I/517fwr6cadL.jpg,https://pcpartpicker.com/product/GCQypg/amd-cpu-hdt55twfgrbox,,AMD,HDT55TWFGRBOX,AMD Phenom II X6,K10,Thuban,AM3,6,2.8 GHz,,,,3 MB,6 MB,125 W,None,,No,Yes,Boxed,45 nm,Yes,No
AMD Athlon II X2 250u,https://images-na.ssl-images-amazon.com/images/I/31HuVwlnBQL.jpg,https://pcpartpicker.com/product/cpvRsY/amd-cpu-ad250usck23gq,,AMD,AD250USCK23GQ,AMD Athlon II X2,K10,Regor,AM3,2,1.6 GHz,,,,2 MB,0 MB,25 W,None,,No,No,OEM/Tray,45 nm,No,No
AMD Athlon II X3 400e,https://images-na.ssl-images-amazon.com/images/I/416PLWd07rL.jpg,https://pcpartpicker.com/product/yCQypg/amd-cpu-ad400ehdgibox,,AMD,AD400EHDGIBOX,AMD Athlon II X3,K10,Rana,AM3,3,2.2 GHz,,,,1.5 MB,0 MB,45 W,None,,No,Yes,Boxed,45 nm,Yes,No
AMD Athlon II X3 415e,https://m.media-amazon.com/images/I/212qqd8bflL.jpg,https://pcpartpicker.com/product/Jr8Zxr/amd-cpu-ad415ehdgmbox,,AMD,AD415EHDGMBOX,AMD Athlon II X3,K10,Rana,AM3,3,2.5 GHz,,,,1.5 MB,0 MB,45 W,None,,No,Yes,Boxed,45 nm,Yes,No
AMD Phenom II X4 965 Black (140W),/static/forever/img/no-image.png,https://pcpartpicker.com/product/3xvRsY/amd-cpu-hdz965fbgibox,,AMD,HDZ965FBGIBOX,AMD Phenom II X4,K10,Deneb,AM3,4,3.4 GHz,,,,2 MB,6 MB,140 W,None,,No,Yes,Boxed,45 nm,Yes,No
Intel Celeron E1200,/static/forever/img/no-image.png,https://pcpartpicker.com/product/7xvRsY/intel-cpu-hh80557pg025d,,Intel,HH80557PG025D,Intel Celeron,Core,Conroe,LGA775,2,1.6 GHz,,,,0.5 MB,0 MB,65 W,None,,No,No,OEM/Tray,65 nm,No,No
Intel Pentium E2180,https://images-na.ssl-images-amazon.com/images/I/416MYM-QgEL.jpg,https://pcpartpicker.com/product/ZMH323/intel-cpu-hh80557pg0411m,,Intel,HH80557PG0411M,Intel Pentium,Core,Conroe,LGA775,2,2 GHz,,,,1 MB,0 MB,65 W,None,,No,No,OEM/Tray,65 nm,No,No
Intel Celeron E3200,https://images-na.ssl-images-amazon.com/images/I/41p4NzbPmzL.jpg,https://pcpartpicker.com/product/LZmLrH/intel-cpu-bx80571e3200,,Intel,BX80571E3200,Intel Celeron,Wolfdale,Wolfdale,LGA775,2,2.4 GHz,,,,1 MB,0 MB,65 W,None,,No,Yes,Boxed,45 nm,Yes,No
Intel Core 2 Duo E4400,//cdna.pcpartpicker.com/static/forever/images/product/cf5b12a7ff32834e615329189af10831.256p.jpg,https://pcpartpicker.com/product/dkZQzy/intel-cpu-hh80557pg0412m,,Intel,HH80557PG0412M,Intel Core 2 Duo,Core,Conroe,LGA775,2,2 GHz,,,,2 MB,0 MB,65 W,None,,No,No,OEM/Tray,65 nm,No,No
Intel Core 2 Duo E4600,/static/forever/img/no-image.png,https://pcpartpicker.com/product/X6fp99/intel-cpu-hh80557pg0562m,$98.95 ,Intel,HH80557PG0562M,Intel Core 2 Duo,Core,Conroe,LGA775,2,2.4 GHz,,,,2 MB,0 MB,65 W,None,,No,No,OEM/Tray,65 nm,No,No
Intel Pentium E6500,https://m.media-amazon.com/images/I/515WTCS+DfL.jpg,https://pcpartpicker.com/product/rKTmP6/intel-cpu-bx80571e6500,$95.71 ,Intel,BX80571E6500,Intel Pentium,Wolfdale,Wolfdale,LGA775,2,2.93 GHz,,,,2 MB,0 MB,65 W,None,,No,Yes,Boxed,45 nm,Yes,No
Intel Core 2 Duo E6850,https://m.media-amazon.com/images/I/416NZteapCL.jpg,https://pcpartpicker.com/product/nzrG3C/intel-cpu-bx80557e6850,,Intel,BX80557E6850,Intel Core 2 Duo,Core,Conroe,LGA775,2,3 GHz,,,,4 MB,0 MB,65 W,None,,No,Yes,Boxed,65 nm,Yes,No
Intel Core 2 Duo E7300,//cdna.pcpartpicker.com/static/forever/images/product/0ce96ac1818c47c739db32a18461ef4f.256p.jpg,https://pcpartpicker.com/product/wWsKHx/intel-cpu-eu80571ph0673m,,Intel,EU80571PH0673M,Intel Core 2 Duo,Wolfdale,Wolfdale,LGA775,2,2.66 GHz,,,,3 MB,0 MB,65 W,None,,No,No,OEM/Tray,45 nm,No,No
Intel Core 2 Duo E8400,https://images-eu.ssl-images-amazon.com/images/I/11ZnFzGEeCL.jpg,https://pcpartpicker.com/product/tZmLrH/intel-cpu-at80570pj0806m,,Intel,AT80570PJ0806M,Intel Core 2 Duo,Wolfdale,Wolfdale,LGA775,2,3 GHz,,,,6 MB,0 MB,65 W,None,,No,No,OEM/Tray,45 nm,No,No
Intel Core i5-655K,https://images-na.ssl-images-amazon.com/images/I/51wp4F3rGIL.jpg,https://pcpartpicker.com/product/ZNV48d/intel-cpu-bx80616i5655k,,Intel,BX80616I5655K,Intel Core i5,Westmere,Clarkdale,LGA1156,2,3.2 GHz,,,,0.5 MB,4 MB,73 W,Intel HD Graphics,,No,Yes,Boxed,32 nm,Yes,Yes: Hyper-Threading
Intel Core i5-750S,https://images-na.ssl-images-amazon.com/images/I/51Z4xqm4nJL.jpg,https://pcpartpicker.com/product/sDvRsY/intel-cpu-bx80605i5750s,$125.00 ,Intel,BX80605I5750S,Intel Core i5,Nehalem,Lynnfield,LGA1156,4,2.4 GHz,,,,1 MB,8 MB,82 W,None,,No,Yes,Boxed,45 nm,Yes,No
Intel Core i7-965 Extreme Edition,/static/forever/img/no-image.png,https://pcpartpicker.com/product/7t2kcf/intel-cpu-at80601000918aa,,Intel,AT80601000918AA,Intel Core i7 Extreme,Nehalem,Bloomfield,LGA1366,4,3.2 GHz,,,,1 MB,8 MB,130 W,None,,No,No,OEM/Tray,45 nm,No,Yes: Hyper-Threading
Intel Core 2 Quad Q8200,https://m.media-amazon.com/images/I/519UGaMEAfL.jpg,https://pcpartpicker.com/product/6GFPxr/intel-cpu-at80580pj0534mn,,Intel,AT80580PJ0534MN,Intel Core 2 Quad,Yorkfield,Yorkfield,LGA775,4,2.33 GHz,,,,4 MB,0 MB,95 W,None,,No,No,OEM/Tray,45 nm,No,No
Intel Core 2 Quad Q8200S,/static/forever/img/no-image.png,https://pcpartpicker.com/product/BX7wrH/intel-cpu-at80580aj0534mn,,Intel,AT80580AJ0534MN,Intel Core 2 Quad,Yorkfield,Yorkfield,LGA775,4,2.33 GHz,,,,4 MB,0 MB,65 W,None,,No,No,OEM/Tray,45 nm,No,No
Intel Core 2 Quad Q9505,https://m.media-amazon.com/images/I/21x-d-RP5nL.jpg,https://pcpartpicker.com/product/dyNp99/intel-cpu-at80580pj0736mg,,Intel,AT80580PJ0736MG,Intel Core 2 Quad,Yorkfield,Yorkfield,LGA775,4,2.83 GHz,,,,6 MB,0 MB,95 W,None,,No,No,OEM/Tray,45 nm,No,No
Intel Core 2 Quad Q9550,/static/forever/img/no-image.png,https://pcpartpicker.com/product/vBR48d/intel-cpu-at80569pj073n,,Intel,AT80569PJ073N,Intel Core 2 Quad,Yorkfield,Yorkfield,LGA775,4,2.83 GHz,,,,12 MB,0 MB,95 W,None,,No,No,OEM/Tray,45 nm,No,No
Intel Core i5-8600K,//cdna.pcpartpicker.com/static/forever/images/product/781c3da4b04a14f5556a6bc7ad7907de.256p.jpg,https://pcpartpicker.com/product/GNX2FT/intel-core-i5-8600k-36ghz-6-core-oemtray-processor-cm8068403358508,,Intel,CM8068403358508,Intel Core i5,Coffee Lake,Coffee Lake,LGA1151,6,3.6 GHz,4.3 GHz,,,1.5 MB,9 MB,95 W,Intel UHD Graphics 630,128 GB,No,No,OEM/Tray,14 nm,No,No
Intel Core i7-7700T,https://images-eu.ssl-images-amazon.com/images/I/51MlS0N4OdL.jpg,https://pcpartpicker.com/product/wZPzK8/intel-core-i7-7700t-29ghz-quad-core-oemtray-processor-cm8067702868416,$489.95 ,Intel,CM8067702868416,Intel Core i7,Kaby Lake,Kaby Lake-S,LGA1151,4,2.9 GHz,3.8 GHz,,,1 MB,8 MB,35 W,Intel HD Graphics 630,64 GB,No,No,OEM/Tray,14 nm,No,Yes: Hyper-Threading
Intel Core i3-8350K,//cdna.pcpartpicker.com/static/forever/images/product/c96f59d30a42a70cb371b93507d7eea1.256p.jpg,https://pcpartpicker.com/product/fCs8TW/intel-core-i3-8350k-40ghz-quad-core-processor-bx80684i38350k,,Intel,BX80684I38350K,Intel Core i3,Coffee Lake,Coffee Lake,LGA1151,4,4 GHz,,,,1 MB,8 MB,91 W,Intel UHD Graphics 630,64 GB,No,No,Boxed,14 nm,No,No
Intel Celeron G4900T,//cdna.pcpartpicker.com/static/forever/images/product/67d6c57eae5170d56282ab69bf97d70b.256p.jpg,https://pcpartpicker.com/product/WWBTwP/intel-celeron-g4900t-18ghz-dual-core-oemtray-processor-cm8068403379312,$59.95 ,Intel,CM8068403379312,Intel Celeron,Coffee Lake,Coffee Lake,LGA1151,2,1.8 GHz,,,,0.5 MB,2 MB,35 W,Intel UHD Graphics 610,64 GB,Yes,No,OEM/Tray,14 nm,No,No
Intel Core i7-6700T,//cdna.pcpartpicker.com/static/forever/images/product/6323d10cd851cd5dcd9b4fe10b77247e.256p.jpg,https://pcpartpicker.com/product/WV7CmG/intel-cpu-cm8066201920202,,Intel,CM8066201920202,Intel Core i7,Skylake,Skylake-S,LGA1151,4,2.8 GHz,3.6 GHz,,,1 MB,8 MB,35 W,Intel HD Graphics 530,64 GB,No,No,OEM/Tray,14 nm,No,Yes: Hyper-Threading
Intel Pentium G3258,https://m.media-amazon.com/images/I/516Ih2L57yL.jpg,https://pcpartpicker.com/product/fKCwrH/intel-cpu-bx80646g3258,$51.36 ,Intel,BX80646G3258,Intel Pentium,Haswell Refresh,Haswell Refresh,LGA1150,2,3.2 GHz,,,,0.5 MB,3 MB,53 W,Intel HD Graphics,,Yes,Yes,Boxed,22 nm,Yes,No
Intel Xeon E5-2697 V3,https://images-na.ssl-images-amazon.com/images/I/51rLr1NagHL.jpg,https://pcpartpicker.com/product/ZcCrxr/intel-cpu-bx80644e52697v3,,Intel,BX80644E52697V3,Intel Xeon E5,Haswell,Haswell-EP,LGA2011-3,14,2.6 GHz,3.6 GHz,,,3.5 MB,35 MB,145 W,None,,Yes,No,Boxed,22 nm,No,Yes: Hyper-Threading
AMD A8-6600K,/static/forever/img/no-image.png,https://pcpartpicker.com/product/fb7wrH/amd-cpu-ad660kwohlbox,$92.86 ,AMD,AD660KWOHLBOX,AMD A8,Piledriver,Richland,FM2,4,3.9 GHz,,,,2 MB,0 MB,100 W,Radeon HD 8570D,,No,Yes,Boxed,32 nm,Yes,No
AMD Ryzen 3 2200G,/static/forever/img/no-image.png,https://pcpartpicker.com/product/9GPKHx/amd-ryzen-3-2200g-35ghz-quad-core-oemtray-processor-yd2200c4m4mfb,,AMD,YD2200C4M4MFB,AMD Ryzen 3,Zen,Raven Ridge,AM4,4,3.5 GHz,3.7 GHz,,,2 MB,4 MB,65 W,Radeon Vega 8,,No,No,OEM/Tray,14 nm,No,No
AMD Phenom II X4 965 Black,https://m.media-amazon.com/images/I/41VGv9slM8L.jpg,https://pcpartpicker.com/product/Rd7wrH/amd-cpu-hdz965fbgmbox,,AMD,HDZ965FBGMBOX,AMD Phenom II X4,K10,Deneb,AM3,4,3.4 GHz,,,,2 MB,6 MB,125 W,None,,No,Yes,Boxed,45 nm,Yes,No
Intel Celeron E3400,https://images-na.ssl-images-amazon.com/images/I/41KETw2ka4L.jpg,https://pcpartpicker.com/product/CxvRsY/intel-cpu-bx80571e3400,$18.98 ,Intel,BX80571E3400,Intel Celeron,Wolfdale,Wolfdale,LGA775,2,2.6 GHz,,,,1 MB,0 MB,65 W,None,,No,Yes,Boxed,45 nm,Yes,No
Intel Core 2 Quad Q9650,/static/forever/img/no-image.png,https://pcpartpicker.com/product/gvGkcf/intel-cpu-bx80569q9650,,Intel,BX80569Q9650,Intel Core 2 Quad,Yorkfield,Yorkfield,LGA775,4,3 GHz,,,,12 MB,0 MB,95 W,None,,No,Yes,Boxed,45 nm,Yes,No
Intel Core i5-6500T,/static/forever/img/no-image.png,https://pcpartpicker.com/product/xn7CmG/intel-cpu-cm8066201920600,,Intel,CM8066201920600,Intel Core i5,Skylake,Skylake-S,LGA1151,4,2.5 GHz,3.1 GHz,,,1 MB,6 MB,35 W,Intel HD Graphics 530,64 GB,No,No,OEM/Tray,14 nm,No,No
Intel Xeon E5-1620 V3,https://m.media-amazon.com/images/I/51rLr1NagHL.jpg,https://pcpartpicker.com/product/PcCrxr/intel-cpu-bx80644e51620v3,$69.02 ,Intel,BX80644E51620V3,Intel Xeon E5,Haswell,Haswell-EP,LGA2011-3,4,3.5 GHz,3.6 GHz,,,1 MB,10 MB,140 W,None,,Yes,No,Boxed,22 nm,No,Yes: Hyper-Threading
